name,affiliation,homepage,scholarid
J. Kelly Flanagan,Brigham Young University,https://cs.byu.edu/faculty/flanaganjkelly,NOSCHOLARPAGE
J. Kenneth Salisbury,Stanford University,https://med.stanford.edu/profiles/john-salisbury,FmrDR68AAAAJ
J. Lakshmi,IISc Bangalore,https://www.serc.iisc.ac.in/faculty/jlakshmi/,weLCYIkAAAAJ
J. M. Akkermans,VU Amsterdam,http://www.cs.vu.nl/~hansa,tRT8oQYAAAAJ
J. M. Pierre Langlois,Polytechnique Montreal,https://www.polymtl.ca/expertises/langlois-j-m-pierre,v78iolYAAAAJ
J. Mark Bishop,Goldsmiths University of London,https://www.gold.ac.uk/computing/staff/m-bishop,48y80igAAAAJ
J. Maurice Rojas,Texas A&M University,http://www.math.tamu.edu/~rojas,gValByUAAAAJ
J. Michael Herrmann,University of Edinburgh,http://www.research.ed.ac.uk/portal/en/persons/michael-herrmann(cf1b7c31-3a87-4812-bf0a-05cf49b0120e).html,MJiOEy0AAAAJ
J. Montgomery,Georgetown University,http://explore.georgetown.edu/people/jm985,XQYNoekAAAAJ
J. Nathan Foster,Cornell University,http://www.cs.cornell.edu/~jnfoster,AH5j40kAAAAJ
J. Nelson Rushton,Texas Tech University,http://www.depts.ttu.edu/cs/department/seminars.php,NOSCHOLARPAGE
J. P. Lewis 0001,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/JohnLewis,wC_k2-4AAAAJ
J. P. Misra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/computerscience/Faculty,7HBV4QwAAAAJ
J. Paul Siebert,University of Glasgow,http://www.dcs.gla.ac.uk/~psiebert,DoEOa80AAAAJ
J. Robin B. Cockett,University of Calgary,http://www.cpsc.ucalgary.ca/~robin,NOSCHOLARPAGE
J. Ross Beveridge,Colorado State University,http://www.cs.colostate.edu/~ross,pAI5S50AAAAJ
J. Rubén Titos Gil,University of Murcia,https://ditec.um.es/~rtitos,wd5zQr0AAAAJ
J. S. Marron,University of North Carolina,http://cs.unc.edu/people/steve-marron,Ft9MrIoAAAAJ
J. Saketha Nath,IIT Hyderabad,http://www.iith.ac.in/~saketha,k70LrvsAAAAJ
J. Santiago Jorge,University of A Coruña,https://pdi.udc.es/en/File/Pdi/WZ69E,NOSCHOLARPAGE
J. Scott Hawker,Rochester Institute of Technology,http://www.se.rit.edu/~hawker,NOSCHOLARPAGE
J. Shane Culpepper,University of Queensland,https://researchers.uq.edu.au/researcher/41331,OFlBSEEAAAAJ
J. Zico Kolter,Carnegie Mellon University,http://www.zicokolter.com,UXh1I6UAAAAJ
J. Ángel Velázquez-Iturbide,Universidad Rey Juan Carlos,http:/www.lite.etsii.urjc.es/angel.velazquez,JfWXVVgAAAAJ
Ja-Ling Wu,National Taiwan University,https://www.cmlab.csie.ntu.edu.tw/cml/dsp/prof-wu/prof-wu.html,AdwCtGbtIg0C
Jaak Vilo,University of Tartu,http://biit.cs.ut.ee,87E06MgAAAAJ
Jaakko Järvi,University of Bergen,https://www.ii.uib.no/~jjarvi,NOSCHOLARPAGE
Jaakko Lehtinen,Aalto University,https://mediatech.aalto.fi/~jaakko,Vpr6s3sAAAAJ
Jaakko Peltonen,Tampere University,https://www.tuni.fi/en/jaakko-peltonen,WFYU6DkAAAAJ
Jaan Aru,University of Tartu,https://sites.google.com/view/jaanaru,FvFOzS8AAAAJ
Jaap Gordijn,VU Amsterdam,http://www.cs.vu.nl/~gordijn,NOSCHOLARPAGE
Jaap Heringa,VU Amsterdam,http://www.cs.vu.nl/~heringa,ZhNFzz8AAAAJ
Jaap Kamps,University of Amsterdam,https://e.humanities.uva.nl,bWlQ2uEAAAAJ
Jaap-Henk Hoepman,Radboud University,http://www.cs.ru.nl/~jhh,QWyYRlkAAAAJ
Jacco van Ossenbruggen,VU Amsterdam,http://homepages.cwi.nl/~jrvosse,BqsB3xIAAAAJ
Jacek Koronacki,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/jacek-koronacki,XSStCMQAAAAJ
Jacek Mandziuk,Nanyang Technological University,http://research.ntu.edu.sg/expertise/academicprofile/Pages/StaffProfile.aspx?ST_EMAILID=J.MANDZIUK&CategoryDescription=MachinesSystems,NOSCHOLARPAGE
Jacek Sroka,University of Warsaw,http://fuzzyinsights.com/author/jacek-sroka,NOSCHOLARPAGE
Jacir Luiz Bordim,Universidade de Brasília,http://cic.unb.br/~bordim/index.htm,0fXoQt0AAAAJ
Jack A. Stankovic,University of Virginia,https://engineering.virginia.edu/faculty/john-stankovic,4VJre9IAAAAJ
Jack Brimberg,Royal Military College of Canada,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-jack-brimberg,RAVaTi4AAAAJ
Jack C. Wileden,University of Massachusetts Amherst,http://www.cics.umass.edu/~jack,fJxwllcAAAAJ
Jack H. Lutz,Iowa State University,http://www.cs.iastate.edu/~lutz,mxv3BeAAAAAJ
Jack J. Dongarra,University of Tennessee,http://www.netlib.org/utk/people/JackDongarra,X4SbSTAAAAAJ
Jack Jansen,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ
Jack Lange,University of Pittsburgh,https://www.cs.pitt.edu/~jacklange,47I8TqkAAAAJ
Jack M. Carroll 0001,Pennsylvania State University,https://jcarroll.ist.psu.edu,7Mg8JZMAAAAJ
Jack Mostow,Carnegie Mellon University,http://www.cs.cmu.edu/~mostow,P0Mv6pIAAAAJ
Jack Poulson,Georgia Institute of Technology,http://ideas.gatech.edu/hg/item/185201,NOSCHOLARPAGE
Jack Sampson,Pennsylvania State University,http://www.cse.psu.edu/~jms1257,fSQCT0YAAAAJ
Jack Snoeyink,University of North Carolina,http://www.cs.unc.edu/~snoeyink,fIoDWp8AAAAJ
Jack Valmadre,University of Adelaide,https://researchers.adelaide.edu.au/profile/jack.valmadre,_VSBqL0AAAAJ
Jack W. Davidson,University of Virginia,https://engineering.virginia.edu/faculty/jack-w-davidson,n7YuWIAAAAAJ
Jack van Wijk,TU Eindhoven,http://www.win.tue.nl/~vanwijk,1F_eX28AAAAJ
Jackie Chi Kit Cheung,McGill University,http://cs.mcgill.ca/~jcheung,Um-wmYQAAAAJ
Jackson Woodruff,University of Edinburgh,http://jacksonwoodruff.com,JWhQ564AAAAJ
Jacky Baltes,University of Manitoba,http://www.cs.umanitoba.ca/~jacky,557QR3kAAAAJ
Jacky Hansjoerg Baltes,University of Manitoba,http://www.cs.umanitoba.ca/~jacky,557QR3kAAAAJ
Jacky Keung,City University of Hong Kong,http://www.cs.cityu.edu.hk/profile/jacky.keung.html,UpuYcQoAAAAJ
Jacky W. Keung,City University of Hong Kong,http://www.cs.cityu.edu.hk/profile/jacky.keung.html,UpuYcQoAAAAJ
Jacky Wai Keung,City University of Hong Kong,http://www.cs.cityu.edu.hk/profile/jacky.keung.html,UpuYcQoAAAAJ
Jaco C. van de Pol,Aarhus University,https://cs.au.dk/~jaco,gbSSgnkAAAAJ
Jaco Geldenhuys,Stellenbosch University,http://www.cs.sun.ac.za/~jaco,Y5dRFosAAAAJ
Jaco van de Pol,Aarhus University,https://cs.au.dk/~jaco,gbSSgnkAAAAJ
Jacob Andreas,Massachusetts Institute of Technology,https://web.mit.edu/jda/www,dnZ8udEAAAAJ
Jacob D. Furst,DePaul University,https://www.cdm.depaul.edu/about/Pages/People/facultyinfo.aspx?fid=365,NOSCHOLARPAGE
Jacob Feldman,Rutgers University,https://ruccs.rutgers.edu/jacob,KoJrMIAAAAAJ
Jacob Goldberger,Bar-Ilan University,http://www.eng.biu.ac.il/goldbej,vgzrOK4AAAAJ
Jacob Holm,University of Copenhagen,https://di.ku.dk/english/staff/?pure=en%2Fpersons%2Fjacob-holm(b9128f70-a478-4df0-9f6b-cc665f65976c)%2Fpublications.html,VzPHumEAAAAJ
Jacob K. White 0001,Massachusetts Institute of Technology,http://www.rle.mit.edu/cpg/people_faculty.htm,4lpSV-8AAAAJ
Jacob Krüger,TU Eindhoven,https://research.tue.nl/en/persons/jacob-kr%C3%BCger,kNvGUNsAAAAJ
Jacob M. Howe,City University of London,https://www.city.ac.uk/people/academics/jacob-howe,Nd7-X2IAAAAJ
Jacob M. Luber,University of Texas at Arlington,https://www.uta.edu/academics/faculty/profile?username=luberj,qkLcROYAAAAJ
Jacob Murray,Washington State University,https://school.eecs.wsu.edu/people/faculty/jacob-murray,NOSCHOLARPAGE
Jacob O. Wobbrock,University of Washington,http://faculty.washington.edu/wobbrock,TmZ3howAAAAJ
Jacob R. Gardner,University of Pennsylvania,https://www.seas.upenn.edu/directory/profile.php?ID=339,0gkajvEAAAAJ
Jacob Scharcanski,UFRGS,http://www.inf.ufrgs.br/~jacobs,o9csf6QAAAAJ
Jacob Sorber,Clemson University,https://people.cs.clemson.edu/~jsorber,yXqu6esAAAAJ
Jacob Steinhardt,Univ. of California - Berkeley,https://www.stat.berkeley.edu/~jsteinhardt,LKv32bgAAAAJ
Jacob T. Biehl,University of Pittsburgh,https://jtbiehl.github.io,LYy73WkAAAAJ
Jacob W. Crandall,Brigham Young University,http://www.jacobcrandall.net,FHGBC58AAAAJ
Jacob White 0001,Massachusetts Institute of Technology,http://www.rle.mit.edu/cpg/people_faculty.htm,4lpSV-8AAAAJ
Jacob Whitehill,Worcester Polytechnic Institute,https://www.wpi.edu/academics/facultydir/200331.htm,PGyMqU0AAAAJ
Jacob William Crandall,Brigham Young University,http://www.jacobcrandall.net,FHGBC58AAAAJ
Jacobo Torán,University of Ulm,https://www.uni-ulm.de/toran1,9tCatQwAAAAJ
Jacobo Torán Romero,University of Ulm,https://www.uni-ulm.de/toran1,9tCatQwAAAAJ
Jacobus E. van der Merwe,University of Utah,https://www.cs.utah.edu/~kobus,PEki4LgAAAAJ
Jacopo Urbani,VU Amsterdam,http://www.jacopourbani.it,5o88MDIAAAAJ
Jacqueline Christmas,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/jtc202,IQRq0CYAAAAJ
Jacqueline Staub,University of Trier,https://ddi.uni-trier.de,hFe7oDcAAAAJ
Jacques A. de Guise,ETS Montreal,http://www.etsmtl.ca/Recherche/Chaires-unites-rech/Chaires/CRC-imagerie-3D,JMQcz58AAAAJ
Jacques Carette,McMaster University,https://www.cas.mcmaster.ca/~carette,Sc-k-EgAAAAJ
Jacques D. Fleuriot,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Jacques_Fleuriot.html,NOSCHOLARPAGE
Jacques Fayolle,Université Jean Monnet,https://www.univ-st-etienne.fr/fr/tous-les-faits-marquants/annees-precedentes/annee-2011-2012/jacques-fayolle-elu-directeur-de-telecom-saint-etienne.html,C8efi9MAAAAJ
Jacques Pasquier-Rocha,University of Fribourg,https://www.unifr.ch/inf/en/all/people/15735/c2a24,j1GgJuMAAAAJ
Jacques Stern,Ecole Normale Superieure,http://www.di.ens.fr/users/stern,NOSCHOLARPAGE
Jacques Wainer,UNICAMP,http://www.ic.unicamp.br/~wainer,wKRXIZ8AAAAJ
Jadwiga Indulska,University of Queensland,http://staff.itee.uq.edu.au/jaga,syzrSEcAAAAJ
Jae C. Oh,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/faculty,NOSCHOLARPAGE
Jae Chan Oh,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/faculty,NOSCHOLARPAGE
Jae Joon Kim,Seoul National University,https://vlsi.snu.ac.kr/team/,Ee994T0AAAAJ
Jae Jun Yoo,UNIST,https://sites.google.com/view/jaejunyoo,7NBlQw4AAAAJ
Jae S. Lim,Massachusetts Institute of Technology,http://www.rle.mit.edu/people/directory/jae-lim,ClH0XTsAAAAJ
Jae W. Lee,Seoul National University,https://cse.snu.ac.kr/en/professor/jae-wook-lee,PA-QN6IAAAAJ
Jae-Gil Lee 0001,KAIST,http://dm.kaist.ac.kr/jaegil,h9mbv9MAAAAJ
Jae-Pil Heo,Sungkyunkwan University,https://sites.google.com/site/vclabskku/,VXyJ_ssAAAAJ
Jae-Soo Kim,Kyungpook National University,http://computer.knu.ac.kr,NOSCHOLARPAGE
Jae-Young Sim,UNIST,http://vip.unist.ac.kr,Mx6iAMoAAAAJ
Jae-il Kim,Kyungpook National University,https://sites.google.com/view/ipalab,L8cMLmEAAAAJ
Jae-sun Seo [Tech],Cornell University,https://seo.ece.cornell.edu/professor/,0eA8Fr8AAAAJ
Jaegul Choo,KAIST,https://sites.google.com/site/jaegulchoo,GHJYsLEAAAAJ
Jaeha Kung,Korea University,https://idslab.korea.ac.kr/,dQvmSAoAAAAJ
Jaeho Lee,POSTECH,https://jaeho-lee.github.io,t91zoQMAAAAJ
Jaehyuk Cha,Hanyang University,http://db.hanyang.ac.kr/doku.php?id=%EC%B0%A8%EC%9E%AC%ED%98%81_%EA%B5%90%EC%88%98%EB%8B%98,wvjewAQAAAAJ
Jaehyuk Huh 0001,KAIST,http://calab.kaist.ac.kr/~jhuh,NC4hxqEAAAAJ
Jaehyung Kim 0001,Yonsei University,https://sites.google.com/view/jaehyungkim,6OYOsGsAAAAJ
Jaeil Kim,Kyungpook National University,https://sites.google.com/view/ipalab,L8cMLmEAAAAJ
Jaejin Lee,Seoul National University,http://aces.snu.ac.kr/~jlee,6JaKru0AAAAJ
Jaejun Yoo 0001,UNIST,https://sites.google.com/view/jaejunyoo,7NBlQw4AAAAJ
Jaekyun Moon,KAIST,http://moonlab.kaist.ac.kr/people.html,dfH3YpkAAAAJ
Jaelson Brelaz de Castro,UFPE,http://www.cin.ufpe.br/~jbc,Um1B6_4AAAAJ
Jaelson Castro,UFPE,http://www.cin.ufpe.br/~jbc,Um1B6_4AAAAJ
Jaelson Freire Brelaz de Castro,UFPE,http://www.cin.ufpe.br/~jbc,Um1B6_4AAAAJ
Jaemin Jo,Sungkyunkwan University,https://idclab.skku.edu/,fw7ft64AAAAJ
Jaemin Yoo,KAIST,https://jaeminyoo.github.io,LcxcTRUAAAAJ
Jaesik Choi,KAIST,http://sailab.kaist.ac.kr/jaesik,RqMLVzUAAAAJ
Jaesik Park,Seoul National University,http://jaesik.info,_3q6KBIAAAAJ
Jaewoo Kang,Korea University,https://dmis.korea.ac.kr/jaewoo-kang-p-i,RaBZafQAAAAJ
Jaewoo Lee,University of Georgia,http://cobweb.cs.uga.edu/~jwlee,kqgVwE8AAAAJ
Jaewook Lee 0001,Seoul National University,https://slcf.snu.ac.kr/members/professor,teMdzbwAAAAJ
Jaewoong Sim,Seoul National University,https://jaewoong.org,4U65ziwAAAAJ
Jaeyeon Jang,The Catholic University of Korea,https://sites.google.com/view/jaeyeonjang/,YcTjjbUAAAAJ
Jaeyeon Lee 0002,UNIST,https://jaeyeonlee.com,K_xmrzgAAAAJ
Jaeyoung Do,Seoul National University,https://aidas.snu.ac.kr/people/,eIMVw2MAAAAJ
Jafar Habibi,Sharif University of Technology,http://sharif.ir/~jhabibi,fKvyreEAAAAJ
Jagannathan Sarangapani,Missouri University of Technology,http://web.mst.edu/~sarangap,RTewL_wAAAAJ
Jagarlapudi Saketha Nath,IIT Hyderabad,http://www.iith.ac.in/~saketha,k70LrvsAAAAJ
Jagath C. Rajapakse,Nanyang Technological University,http://www.ntu.edu.sg/home/asjagath,9WPWHiEAAAAJ
Jagrati Singh,IGDTUW,https://www.igdtuw.ac.in/computerScience.php?name=Jagrati_singh,zvxHl5AAAAAJ
Jai Kang,Rochester Institute of Technology,https://www.rit.edu/gccis/jai-kang,NOSCHOLARPAGE
Jaideep Mulherkar,DAIICT,http://intranet.daiict.ac.in/~jaideep_mulherkar,J2aDvokAAAAJ
Jaideep Srivastava,University of Minnesota,https://www.cs.umn.edu/people/faculty,Y4J5SOwAAAAJ
Jaideep Vaidya,Rutgers University,https://www.business.rutgers.edu/faculty/jaideep-vaidya,5bYRZ4sAAAAJ
Jaijeet Roychowdhury,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/jr.html,NOSCHOLARPAGE
Jaijeet S. Roychowdhury,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/jr.html,NOSCHOLARPAGE
Jaikumar Radhakrishnan,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~jaikumar,R-Iyl4gAAAAJ
Jaime Arguello,University of North Carolina,https://sils.unc.edu/people/faculty/profiles/Jaime-Arguello,q7foMK4AAAAJ
Jaime Delgado,Polytechnic University of Catalonia,http://ieeexplore.ieee.org/document/6214725/?section=abstract,RSDAEdAAAAAJ
Jaime Delgado Merce,Polytechnic University of Catalonia,http://ieeexplore.ieee.org/document/6214725/?section=abstract,RSDAEdAAAAAJ
Jaime Fernández Fisac,Princeton University,https://ece.princeton.edu/people/jaime-fernandez-fisac,HvjirogAAAAJ
Jaime Navon,Pontificia Universidad Catolica de Chile,https://www.ing.uc.cl/academicos-e-investigadores/jaime-navon-cohen,NOSCHOLARPAGE
Jaime Ruiz,University of Florida,https://www.jaimeruiz.com,K1O-ZPIAAAAJ
Jaime Simao Sichman,USP,https://www2.pcs.usp.br/pcsv6/index.php/131-docentes/223-jaime,rlSHIHIAAAAJ
Jaime Viegas,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/5686-jaime-viegas,R97KDQ0AAAAJ
Jainendra K. Navlakha,Florida International University,https://www.cis.fiu.edu/faculty-staff/navlakha-jainendra-k,NOSCHOLARPAGE
Jainendra Shukla,IIIT Delhi,https://www.iiitd.ac.in/jainendra,QCZleNQAAAAJ
Jake J. Abbott,University of Utah,https://www.mech.utah.edu/directory/faculty/jake-abbott,GyeogAAAAJ
Jakob Andreas Bærentzen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
Jakob Bohr,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
Jakob Eg Larsen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
Jakob Eriksson,University of Illinois at Chicago,https://www.cs.uic.edu/Jakob,kLUW0psAAAAJ
Jakob Grue Simonsen,University of Copenhagen,http://www.diku.dk/~simonsen,JFhAzosAAAAJ
Jakob H. Macke,University of Tübingen,https://uni-tuebingen.de/en/research/core-research/cluster-of-excellence-machine-learning/research/research/cluster-research-groups/professorships/machine-learning-in-science,FKOqtF8AAAAJ
Jakob Nordström,University of Copenhagen,http://www.jakobnordstrom.se,YSFwWNIAAAAJ
Jakob Rehof,TU Dortmund,https://ls14-www.cs.uni-dortmund.de/cms/de/home,lhc6Jn4AAAAJ
Jakob Runge,TU Dresden,https://www.jakob-runge.com/,wtXVvuUAAAAJ
Jakub Kowalski,University of Wroclaw,http://ii.uni.wroc.pl/instytut/pracownicy/64,31AWuosAAAAJ
Jakub M. Tomczak,VU Amsterdam,https://jmtomczak.github.io/index.html,XB99pR4AAAAJ
Jakub Marecek,Czech Technical University,https://www.aic.fel.cvut.cz/research-areas/optimization,Ew8TNsMAAAAJ
Jakub Michaliszyn,University of Wroclaw,http://www.ii.uni.wroc.pl/~jmi,KxpyIIYAAAAJ
Jakub Mikolaj Tomczak,VU Amsterdam,https://jmtomczak.github.io/index.html,XB99pR4AAAAJ
Jakub Pawlewicz,University of Warsaw,https://chessprogramming.wikispaces.com/Jakub+Pawlewicz,95JYFDQAAAAJ
Jakub Radoszewski,University of Warsaw,http://uw.academia.edu/JakubRadoszewski,U-0-OtsAAAAJ
Jakub Simko,Kempelen Institute - KInIT,https://kinit.sk/member/jakub-simko/,vjXMG2AAAAAJ
Jakub Szefer,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/jakub-szefer,NO1Je2kAAAAJ
Jalaj Upadhyay,Rutgers University,https://sites.google.com/view/jalajupadhyay/home,vHTMzPQAAAAJ
Jalal Kawash,University of Calgary,http://www.cpsc.ucalgary.ca/~kawash,NOSCHOLARPAGE
Jamal Alsakran,University of Jordan,http://eacademic.ju.edu.jo/j.Alsakran,lQ9EkngAAAAJ
Jamal Atif,Université Paris Dauphine,https://www.lamsade.dauphine.fr/fr/personnes/detail-cv/profile/jamal-atif.html,2RbvJyIAAAAJ
James A. Bagnell,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=689,7t4jbPQAAAAJ
James A. Clause,University of Delaware,https://www.eecis.udel.edu/~clause,CappitoAAAAJ
James A. Fogarty,University of Washington,https://homes.cs.washington.edu/~jfogarty,hma0WFAAAAAJ
James A. Glazier,Indiana University,https://iubphys.sitehost.iu.edu/faculty/glazier.shtml,y0pmefMAAAAJ
James A. Hendler,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~hendler,JNPbTdIAAAAJ
James A. Jones,Univ. of California - Irvine,http://jamesajones.com,3lB8Y8kAAAAJ
James A. Landay,Stanford University,https://profiles.stanford.edu/james-landay,oQsObk0AAAAJ
James A. Preiss,Univ. of California - Santa Barbara,https://cs.ucsb.edu/people/faculty/james-preiss,gXkGd7EAAAAJ
James A. R. Marshall,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/james-marshall,VNMIqx4AAAAJ
James A. Reggia,University of Maryland - College Park,https://www.cs.umd.edu/~reggia,NOSCHOLARPAGE
James A. Storer,Brandeis University,http://www.cs.brandeis.edu/~storer,v3vdZycAAAAJ
James Alexander Hendler,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~hendler,JNPbTdIAAAAJ
James Alfred Walker,University of York,https://www.cs.york.ac.uk/people/?group=Research%20Fellows%20and%20Research%20Associates&username=jawalker,Yl5OycsAAAAJ
James Allan,University of Massachusetts Amherst,https://ciir.cs.umass.edu/~allan,NOSCHOLARPAGE
James Allen Fill,Johns Hopkins University,https://www.ams.jhu.edu/~fill/,gSwyFR4AAAAJ
James Andrew Bagnell,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=689,7t4jbPQAAAAJ
James Andrew Smith,York University,http://eecs.lassonde.yorku.ca/faculty/james-andrew-smith,cc9nEgYAAAAJ
James Aspnes,Yale University,http://www.cs.yale.edu/homes/aspnes,1HYDaVIAAAAJ
James Atlas,University of Delaware,https://www.eecis.udel.edu/~atlas,ayy4s4cAAAAJ
James Austin,University of York,https://www-users.cs.york.ac.uk/~austin,xpZL8d8AAAAJ
James B. D. Joshi,University of Pittsburgh,http://www.sis.pitt.edu/jjoshi,veOn_3UAAAAJ
James B. Worrell,University of Oxford,http://www.cs.ox.ac.uk/james.worrell,oFZmiioAAAAJ
James Bailey 0001,University of Melbourne,http://people.eng.unimelb.edu.au/baileyj,ujsYC98AAAAJ
James Boorman,Monash University,https://research.monash.edu/en/persons/james-boorman,vz2aiXIAAAAJ
James Bret Michael,Naval Postgraduate School,http://faculty.nps.edu/vitae/cgi-bin/vita.cgi?p=display_vita&id=1023567701,JYxa6eYAAAAJ
James Brotherston,University College London,http://www0.cs.ucl.ac.uk/staff/J.Brotherston,TmQ8BA8AAAAJ
James C. Bezdek,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/22301-jim-bezdek,kXy4LAMAAAAJ
James C. Gee,University of Pennsylvania,https://www.med.upenn.edu/apps/faculty/index.php/g275/p10656,MIjWr_8AAAAJ
James C. Hoe,Carnegie Mellon University,http://users.ece.cmu.edu/~jhoe,ZnRhcFUAAAAJ
James C. Lester,North Carolina State University,https://www.csc.ncsu.edu/people/lester,8LDxxM0AAAAJ
James Caldwell,University of Wyoming,http://www.cs.uwyo.edu/~jlc,kPtO_xgAAAAJ
James Cannady,Nova Southeastern University,https://cec.nova.edu/faculty/cannady.html,NOSCHOLARPAGE
James Canning,University of Massachusetts Lowell,https://www.uml.edu/Honors/People/canning-james.aspx,1V__UcAAAAAJ
James Caverlee,Texas A&M University,http://faculty.cs.tamu.edu/caverlee,LB1dq_sAAAAJ
James Cheney,University of Edinburgh,http://homepages.inf.ed.ac.uk/jcheney,G-1f1G4AAAAJ
James Cheng,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~jcheng,M--dS1EAAAAJ
James Clause,University of Delaware,https://www.eecis.udel.edu/~clause,CappitoAAAAJ
James Clawson,Indiana University,https://jamesclawson.com,7Z-F_AoAAAAJ
James Cremer,University of Iowa,https://www.cs.uiowa.edu/~cremer,At2chacAAAAJ
James Currier,University of Pittsburgh,http://www.sci.pitt.edu/faculty-and-research/faculty-directory/james-d-kip-currier,NOSCHOLARPAGE
James Cussens,University of Bristol,https://research-information.bris.ac.uk/en/persons/james-cussens,OEFkOR0AAAAJ
James D. Foley,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Jim.Foley/foley.html,GmcChLIAAAAJ
James D. Herbsleb,Carnegie Mellon University,http://herbsleb.org,NOSCHOLARPAGE
James D. Hollan,Univ. of California - San Diego,http://hci.ucsd.edu/hollan,LOFYnLkAAAAJ
James David Laird,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/james_laird,_Gi9Hl4AAAAJ
James Davis 0001,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~davis,BDYIAe4AAAAJ
James Demmel,Univ. of California - Berkeley,https://www.cs.berkeley.edu/~demmel,NOSCHOLARPAGE
